id,name,birthdate,deathdate
131,Alan Alda,28/01/1936,
132,Alan Autry,31/07/1952,
133,Alan Bates,17/02/1934,27/12/2003
134,Alan Brent,,
135,Alan Cohn,12/01/1957,
136,Alan D. Purwin,28/08/1961,11/09/2015
137,Alan Dale,06/05/1947,
138,Alan David,30/11/1947,
139,Alan Ford,23/02/1938,
140,Alan Hale,06/05/1947,
141,Alan Hale Jr.,08/03/1921,02/01/1990
142,Alan J. Pakula,07/04/1928,19/11/1998
143,Alan Jacobs,,
144,Alan Metter,19/08/1933,
145,Alan Oppenheimer,23/04/1930,
146,Alan Parker,14/02/1944,
147,Alan Pietruszewski,,
148,Alan Poul,,
149,Alan Rickman,21/02/1946,14/01/2016
150,Alan Ruck,01/07/1956,
151,Alan Rudolph,18/12/1943,
152,Alan Shapiro,,
153,Alan Taylor,,
154,Alan Van Sprang,19/06/1971,
155,Alan Williams,,
156,Alan Young,19/11/1919,19/05/2016
157,Alan Yuen,,
158,Alana Kaniewski,,
159,Alanna Ubach,03/10/1975,
160,Alastair Duncan,,
161,Alba Rohrwacher,27/02/1979,
162,Albert Brooks,22/07/1947,
163,Albert Delpy,13/09/1941,
164,Albert Dupontel,11/01/1964,
165,Albert Finney,09/05/1936,
166,Albert Hughes,01/04/1972,
167,Albert Maysles,26/11/1926,05/03/2015
168,Albert Salmi,11/03/1928,22/04/1990
169,Alden Ehrenreich,22/11/1989,
170,Aldis Hodge,20/09/1986,
171,Aldo Sambrell,23/02/1931,10/07/2010
172,Alec Asten,,
173,Alejandro Agresti,02/06/1961,
174,Alejandro AmenÃ¡bar,31/03/1972,
175,Alejandro Furth,,
176,Alejandro G. IÃ±Ã¡rritu,15/08/1963,
177,Alejandro Monteverde,13/07/1977,
178,Aleksa Palladino,21/09/1980,
179,Aleksandr Bashirov,24/09/1955,
180,Aleksandr Veledinskiy,27/07/1959,
181,Aleksey Chadov,02/09/1981,
182,Aleksey German,04/09/1976,
183,Aleksey Serebryakov,03/06/1964,
184,Alessandra Mastronardi,18/02/1986,
185,Alessandro Carloni,,
186,Alessandro Nivola,28/06/1972,
187,Alessandro Preziosi,19/04/1973,
188,Ãlex Angulo,12/04/1953,20/07/2014
189,Alex Borstein,15/02/1973,
190,Alex Cox,15/12/1954,
191,Alex Craig Mann,,
192,Ãlex de la Iglesia,04/12/1965,
193,Alex DÃ©sert,18/07/1968,
194,Alex Emanuel,,
195,Alex Garland,26/05/1970,
196,Alex Gibney,23/10/1953,
197,Alex Huszar,,
198,Alex Jennings,10/05/1957,
199,Alex Karpovsky,,
200,Alex Kendrick,,
201,Alex Lawther,,
202,Alex Macqueen,,
203,Alex McArthur,06/03/1957,
204,Alex Meraz,10/01/1985,
205,Alex Pettyfer,10/04/1990,
206,Alex Proyas,23/09/1963,
207,Alex Ranarivelo,,
208,Alex Rivera,,
209,Alex Rocco,29/02/1936,18/07/2015
210,Alex Russell,11/12/1987,
211,Alex Sanborn,,
212,Alex Smith,,
213,Alex van Warmerdam,14/08/1952,
214,Alex Veadov,15/04/1962,
215,Alex Vincent,29/04/1981,
216,Alex Winter,,
217,Alex Zamm,,
218,Alexa Davalos,28/05/1982,
219,Alexa Havins,16/11/1980,
220,Alexa PenaVega,27/08/1988,
221,Alexander Gould,04/05/1994,
222,Alexander Payne,10/02/1961,
223,Alexander SkarsgÃ¥rd,25/08/1976,
224,Alexander Vlahos,,
225,Alexander Witt,,
226,Alexander Wraith,29/06/1979,
227,Alexandra Breckenridge,15/05/1982,
228,Alexandra Callas,,
229,Alexandra Holden,30/04/1977,
230,Alexandra Maria Lara,12/11/1978,
231,Alexandra Rapaport,26/12/1971,
232,Alexandra Silber,03/07/1983,
233,Alexandre Aja,07/08/1978,
234,Alexandre Rodrigues,21/05/1983,
235,Alexandru Potocean,21/04/1984,
236,Alexia Fast,12/09/1992,
237,Alexia Rasmussen,,
238,Alexis Arquette,28/07/1969,11/09/2016
239,Alexis Biesiada,,
240,Alexis Dziena,08/07/1984,
241,Alexis Kendra,,
242,Alfie Allen,12/09/1986,
243,Alfonso CuarÃ³n,28/11/1961,
244,Alfre Woodard,08/11/1952,
245,Alfred Enoch,02/12/1988,
246,Alfred Hitchcock,1899-08-13,29/04/1980
247,Ali Daniels,13/06/1963,
248,Ali Hillis,29/12/1978,
249,Alia Shawkat,18/04/1989,
250,Alice Braga,15/04/1983,
251,Alice Cooper,04/02/1948,
252,Alice Englert,15/06/1994,
253,Alice Evans,,
254,Alice Greczyn,06/02/1986,
255,Alice Krige,28/06/1954,
256,Alice Olivia Clarke,,
257,Alice Playten,28/08/1947,25/06/2011
258,Alice Pol,,
259,Alice Wu,21/04/1970,
260,Alicia Goranson,22/06/1974,
261,Alicia Keys,25/01/1981,
262,Alicia Sixtos,27/05/1988,
263,Alicia Witt,21/08/1975,
264,Alicia Ziegler,02/05/1981,
265,Alicja Bachleda,12/05/1983,
266,Aliou TourÃ©,,
267,Alisha Boe,06/03/1997,
268,Alison Brie,29/12/1982,
269,Alison Chand,,
270,Alison Doody,11/11/1966,
271,Alison Lohman,18/09/1979,
272,Alison Maclean,,
273,Alissa Dean,,
274,Alister Grierson,,
275,Alix Freihage,,
276,Allan Arkush,30/04/1948,
277,Allan Dwan,1885-04-03,28/12/1981
278,Allegra Carpenter,,
279,Allen Coulter,,
280,Allen Covert,13/10/1964,
281,Allen Hughes,01/04/1972,
282,Allen Leech,18/05/1981,
283,Allen Payne,07/07/1968,
284,Allison Anders,16/11/1954,
285,Allison Burnett,,
286,Allison Dean,,
287,Allison Miller,02/09/1985,
288,Allison Tolman,18/11/1981,
289,Ally Sheedy,13/06/1962,
290,Ally Walker,25/08/1961,
291,Alma Martinez,18/03/1953,
292,Alona Tal,20/10/1983,
293,Alonna Shaw,,
294,Alun Armstrong,17/07/1946,
295,Alycia Debnam-Carey,,
296,Alyson Hannigan,24/03/1974,
297,Alyson Stoner,11/08/1993,
298,Amal Al-Agroobi,,
299,Amanda Detmer,27/09/1971,
300,Amanda Gusack,,
301,Amanda Kearsan,,
302,Amanda MacDonald,,
303,Amanda Mealing,22/04/1967,
304,Amanda Plummer,23/03/1957,
305,Amanda Redman,12/08/1957,
306,Amanda Schull,26/08/1978,
307,Amanda Tilson,,
308,Amanda Troop,,
309,Amanda Wyss,24/11/1960,
310,Amat Escalante,28/02/1979,
311,Amber Armstrong,,
312,Amber Benson,08/01/1977,
313,Amber Marie Bollinger,,
314,Amber Marshall,02/06/1988,
315,Amber Rose Revah,24/06/1986,
316,Amber Stevens West,07/10/1986,
317,Amber Valletta,09/02/1974,
318,Amelia Giancarlo,,
319,Amelia Warner,04/06/1982,
320,America Ferrera,18/04/1984,
321,America Olivo,05/01/1978,
322,Ami Ayalon,,
323,Amiah Miller,,
324,Amidou,02/08/1935,19/09/2013
325,Amir Farrokh Hashemian,,
326,Amir Talai,24/06/1977,
327,Aml Ameen,30/07/1985,
328,Amos Oz,04/05/1939,
329,Amr Waked,12/04/1973,
330,Amrish Puri,22/06/1932,12/01/2005
331,Amy Badberg,,
332,Amy Brenneman,22/06/1964,
333,Amy Bruni,,
334,Amy Carson,,
335,Amy Hargreaves,27/01/1970,
336,Amy Heckerling,07/05/1952,
337,Amy Hill,09/05/1953,
338,Amy Holden Jones,,
339,Amy Irving,10/09/1953,
340,Amy Locane,19/12/1971,
341,Amy Lucas,,
342,Amy Madigan,11/09/1950,
343,Amy Poehler,16/09/1971,
344,Amy Ryan,03/05/1968,
345,Amy Schumer,01/06/1981,
346,Amy Sedaris,29/03/1961,
347,Amy Steel,03/05/1960,
348,Amy Stewart,,
349,Amy Warren,,
350,Amy Yasbeck,12/09/1962,
351,Ana Claudia TalancÃ³n,01/05/1980,
352,Ana de la Reguera,08/04/1977,
353,Ana Gasteyer,04/05/1967,
354,Ana Imnadze,,
355,Ana Maria Guran,06/10/1995,
356,Ana Vatamanu,,
357,Analeine Cal y Mayor,,
358,Anamaria Marinca,01/04/1978,
359,Anand Tucker,24/06/1963,
360,Anatoliy Solonitsyn,30/08/1934,11/06/1982
361,Anders Holm,,
362,Andre Braugher,01/07/1962,
363,AndrÃ© Dussollier,17/02/1946,
364,AndrÃ© Ã˜vredal,,
365,AndrÃ© Ramiro,14/01/1981,
366,AndrÃ© TÃ©chinÃ©,,
367,AndrÃ© the Giant,19/05/1946,27/01/1993
368,AndrÃ© Wilms,,
369,Andrea Arnold,05/04/1961,
370,Andrea Corr,12/12/1960,
371,Andrea Di Stefano,15/12/1972,
372,Andrea Frankle,,
373,Andrea Martin,15/01/1947,
374,Andrea Ros,03/05/1993,
375,Andrea Savage,20/02/1973,
376,Andrea Vergara,10/11/1984,
377,Andrei Tarkovsky,04/04/1932,29/12/1986
378,Andrej Nahtigal,04/09/1942,
379,AndrÃ©s Couturier,05/02/1977,
380,AndrÃ©s Montiel,30/01/1975,
381,AndrÃ©s Muschietti,,
382,Andrew Adamson,01/12/1966,
383,Andrew Airlie,18/09/1961,
384,Andrew Berends,,
385,Andrew Bergman,20/02/1945,
386,Andrew Bryniarski,13/02/1969,
387,Andrew Bujalski,,
388,Andrew Currie,,
389,Andrew Daly,15/04/1971,
390,Andrew Davis,21/11/1946,
391,Andrew Dice Clay,29/09/1957,
392,Andrew Dominik,07/10/1967,
393,Andrew Douglas,,
394,Andrew Erwin,,
395,Andrew Fiscella,25/05/1966,
396,Andrew Fleming,30/12/1965,
397,Andrew Garfield,20/08/1983,
398,Andrew Haigh,,
399,Andrew Hyatt,19/08/1982,
400,Andrew Jarecki,,
401,Andrew Keegan,29/01/1979,
402,Andrew Keir,03/04/1926,05/10/1997
403,Andrew Lawrence,11/08/1966,
404,Andrew Leman,,
405,Andrew Morahan,,
406,Andrew Niccol,10/06/1964,
407,Andrew Rannells,23/08/1978,
408,Andrew Robinson,14/02/1942,
409,Andrew Simpson,,
410,Andrew Stanton,03/12/1965,
411,Andrew Steggall,,
412,Andrew Traucki,,
413,Andrew Wilson,,
414,Andrey Konchalovskiy,20/08/1937,
415,Andrey Zvyagintsev,06/02/1964,
416,Andrucha Waddington,,
417,Andrzej Bartkowiak,06/03/1950,
418,Andy Cadiff,,
419,Andy Cohn,,
420,Andy Davoli,02/09/1973,
421,Andy Dick,21/12/1965,
422,Andy Fickman,,
423,Andy Garcia,12/04/1956,
424,Andy Lau,27/09/1961,
425,Andy On,11/05/1977,
426,Andy Richter,28/10/1966,
427,Andy Tennant,15/06/1955,
428,Ane Dahl Torp,01/08/1975,
429,Anella Vastola,,
430,Ang Lee,23/10/1954,
431,Angel Coulby,30/08/1980,
432,Angel David,,
433,Angela Bettis,09/01/1973,
434,Angela Cartwright,09/09/1952,
435,Angela Featherstone,03/04/1965,
436,Angela Jones,,
437,Ãngela Molina,05/10/1955,
438,Angela Nordeng,,
439,Angela Robinson,14/02/1971,
440,Angela Sarafyan,30/06/1983,
441,Angelica Lee,23/01/1976,
442,AngÃ©lica Sancio,,
443,Angeliki Papoulia,,
444,Angelina Armani,18/11/1987,
445,Angelina Jolie Pitt,04/06/1975,
446,Angell Conwell,02/08/1983,
447,Angelo Anthony Pizza,,
448,Angelo Pizzo,,
449,Angelo Rossitto,18/02/1908,21/09/1991
450,Angelo Tsarouchas,,
451,Angie Dickinson,30/09/1931,
452,Angus Barnett,,
453,Angus Macfadyen,21/09/1963,
454,Angus Sampson,12/02/1979,
455,Angus Scrimm,19/08/1926,09/01/2016
456,Angus T. Jones,08/10/1993,
457,Anika Noni Rose,06/09/1972,
458,Anil Kapoor,24/12/1956,
459,Anil Kumar,,
460,Anita Briem,29/05/1982,
461,Anita Mui,10/10/1963,30/12/2003
462,Anita Page,04/08/1910,06/09/2008
463,Anjelica Huston,08/07/1951,
464,Ann Dowd,30/01/1956,
465,Ann Gillis,12/02/1927,
466,Ann Miller,12/04/1923,22/01/2004
467,Ann Morgan Guilbert,16/10/1928,14/06/2016
468,Ann Talman,13/09/1957,
469,Ann-Margret,28/04/1941,
470,Anna Boden,,
471,Anna Friel,12/07/1976,
472,Anna Gunn,11/08/1968,
473,Anna Harr,,
474,Anna Karina,22/09/1940,
475,Anna Katarina,,
476,Anna Katharina Schwabroh,,
477,Anna Kendrick,09/08/1985,
478,Anna Madeley,,
479,Anna Mastro,,
480,Anna Muylaert,21/04/1964,
481,Anna Nakagawa,30/08/1965,17/10/2014
482,Anna Silk,31/01/1974,
483,Anna Vareschi,,
484,Anna-Louise Plowman,09/05/1972,
485,Annabel Jankel,01/08/1955,
486,Annabella Sciorra,29/03/1960,
487,Annabelle Wallis,,
488,Annabeth Gish,13/03/1971,
489,Anne Archer,24/08/1947,
490,Anne Bancroft,17/09/1931,06/06/2005
491,Anne Fletcher,01/05/1966,
492,Anne Fontaine,15/07/1959,
493,Anne Hathaway,12/11/1982,
494,Anne Heche,25/05/1969,
495,Anne Meara,20/09/1929,23/05/2015
496,Anne Parillaud,06/05/1960,
497,Anne-Marie Duff,08/10/1970,
498,Anneliese van der Pol,23/09/1984,
499,Annelyse Ahmad,,
500,Annet Mahendru,,
501,Annette Badland,26/08/1950,
502,Annie Golden,19/10/1951,
503,Annie Parisse,31/07/1975,
504,Anslem Richardson,,
505,Anthony 'Citric' Campos,,
506,Anthony Bell,,
507,Anthony Burrell,,
508,Anthony Chau-Sang Wong,02/09/1961,
509,Anthony Daniels,,
510,Anthony Edwards,19/07/1962,
511,Anthony Heald,20/02/1954,
512,Anthony Hemingway,,
513,Anthony Hickox,,
514,Anthony Hopkins,31/12/1937,
515,Anthony Johnson,,
516,Anthony L. Fernandez,,
517,Anthony LaPaglia,31/01/1959,
518,Anthony Mann,30/06/1906,29/04/1967
519,Anthony Minghella,06/01/1954,18/03/2008
520,Anthony O'Brien,,
521,Anthony Powell,02/06/1935,
522,Anthony Reynolds,08/05/1968,
523,Anthony Russo,31/01/1977,
524,Anthony Silverston,,
525,Anthony Simcoe,07/06/1969,
526,Anthony Vallone,,
527,Anthony Zerbe,20/05/1936,
528,Antoine Fuqua,19/01/1966,
529,Anton Corbijn,20/05/1955,
530,Antoni Corone,,
531,Antonia Bird,27/05/1951,24/10/2013
532,Antonia Thomas,03/11/1986,
533,Antonio ArruÃ©,,
534,Antonio Banderas,10/08/1960,
535,Antonio de la Torre,18/01/1968,
536,Antonio Sabato Jr.,29/02/1972,
537,Antonio Simoncini,,
538,Antony Hoffman,,
539,Antony Starr,25/10/1975,
540,Anupam Kher,07/03/1955,
541,Anurag Basu,,
542,Anushka Shetty,07/11/1981,
543,Anwar Congo,,
544,April Winchell,04/01/1960,
545,Ara Celi,19/06/1967,
546,Aramis Knight,03/10/1999,
547,Arben Bajraktaraj,,
548,Arcelia RamÃ­rez,07/12/1967,
549,Archie Kao,14/12/1969,
550,Archie Panjabi,31/05/1972,
551,Aretha Franklin,25/03/1942,
552,Ari Folman,17/12/1962,
553,Ari Gold,,
554,Ari Graynor,27/04/1983,
555,Ari Kirschenbaum,,
556,Ari Sandel,,
557,Aria Noelle Curzon,08/12/1987,
558,Ariana Neal,,
559,Ariana Richards,11/09/1979,
560,Ariane Labed,,
561,Ariane Schluter,01/02/1966,
562,Arie Posin,,
563,Ariel Gade,01/05/1997,
564,Ariel Hsing,,
565,Ariel Vromen,14/02/1973,
566,Aries Spears,03/04/1975,
567,Arik Ascherman,,
568,Arjun Rampal,26/11/1972,
569,Arjun Sablok,,
570,Arliss Howard,18/10/1954,
571,Arly Jover,02/02/1971,
572,Armando Riesco,05/12/1977,
573,Armin Mueller-Stahl,17/12/1930,
574,Armin Rohde,04/04/1955,
575,Armin Shimerman,05/11/1949,
576,Art Carney,04/11/1918,09/11/2003
577,Art Hindle,21/07/1948,
578,Art Malik,13/11/1952,
579,Arthur Agee,22/11/1972,
580,Arthur Hiller,22/11/1923,17/08/2016
581,Arthur O'Connell,29/03/1908,18/05/1981
582,Arturo Castro,19/12/1955,
583,Artyom Bogucharskiy,14/08/1989,
584,Aryana Engineer,06/03/2001,
585,Asger Leth,,
586,Asghar Farhadi,,
587,Ash Baron-Cohen,,
588,Ash Brannon,,
589,Ash Cook,,
590,Ashanti,13/10/1980,
591,Ashish R. Mohan,,
592,Ashleigh Gryzko,,
593,Ashley Ashida Dixon,,
594,Ashley Bell,26/05/1986,
595,Ashley Gerasimovich,,
596,Ashley Hinshaw,11/12/1988,
597,Ashley Laurence,28/05/1966,
598,Ashley Martin,,
599,Ashley Palmer,13/11/1978,
600,Ashley Rickards,04/05/1992,
601,Ashley Scott,13/07/1977,
602,Ashley Tramonte,,
603,Ashley Walters,30/06/1982,
604,Ashley Williams,12/11/1978,
605,Ashraf Barhom,,
606,Asin,26/10/1985,
607,Athina Rachel Tsangari,02/04/1966,
608,Ato Essandoh,29/07/1972,
609,Atom Egoyan,19/07/1960,
610,Atsuko Maeda,10/07/1991,
611,Atticus Shaffer,19/06/1998,
612,Aubrey Poo,,
613,Audrey Fleurot,06/07/1977,
614,Audrey Wells,29/04/1960,
615,August Diehl,04/01/1976,
616,Augustus Prew,17/09/1987,
617,Aunjanue Ellis,21/02/1969,
618,Austin Lyon,,
619,Austin Nichols,24/04/1980,
620,Austin O'Brien,11/05/1981,
621,Austin Pendleton,27/03/1940,
622,Ava Acres,,
623,Ava DuVernay,24/08/1972,
624,Ava Gardner,24/12/1922,25/01/1990
625,Avery Schreiber,09/04/1935,07/01/2002
626,Avi Nesher,,
627,Ayan Mukerji,,
628,Ayelet Zurer,28/06/1969,
629,Ayesha Omar,12/10/1981,
630,Ayla Kell,07/10/1990,
631,Ayush Mahesh Khedekar,,
632,Aziz Muradillayev,,
633,Azura Skye,08/11/1981,
634,B.J. Novak,31/07/1979,
635,Babak Najafi,14/09/1975,
636,Babar Ahmed,,
637,Bahare Seddiqi,,
638,Bai Ling,,
639,Bailee Madison,15/10/1999,
640,Balinese Tari Legong Dancers,,
641,BÃ¡lint PÃ©ntek,,
642,Baltasar KormÃ¡kur,27/02/1966,
643,Balthazar Getty,22/01/1975,
644,Bam Margera,28/09/1979,
645,Barack Obama,04/08/1961,
646,Barbara Bach,27/08/1947,
647,Barbara Billingsley,22/12/1915,16/10/2010
648,Barbara Carrera,31/12/1945,
649,BÃ¡rbara Goenaga,20/07/1983,
650,Barbara Hershey,05/02/1948,
651,Barbara Kowalcyk,,
652,BÃ¡rbara Mori,02/02/1978,
653,Barbet Schroeder,26/08/1941,
654,Barbie Castro,,
655,Barbra Streisand,24/04/1942,
656,Bari Hyman,,
657,Barnard Hughes,16/07/1915,11/07/2006
658,Barney Clark,13/12/1973,
659,Barney Frank,31/03/1940,
660,Barret Oliver,24/08/1973,
661,Barrett Esposito,,
662,Barry Bostwick,24/02/1945,
663,Barry Cook,,
664,Barry Corbin,16/10/1940,
665,Barry Dennen,22/02/1938,
666,Barry Fitzgerald,1888-03-10,14/01/1961
667,Barry Levinson,06/04/1942,
668,Barry Lynch,28/08/1959,
669,Barry Shabaka Henley,15/09/1954,
670,Barry Skolnick,08/10/1966,
671,Barry Sonnenfeld,01/04/1953,
672,Barry W. Blaustein,,
673,Barry Watson,23/04/1974,
674,Bart Freundlich,17/01/1970,
675,Bart Shatto,23/02/1965,
676,Bart the Bear,,
677,Bashar Rahal,20/10/1974,
678,Basher Savage,,
679,Basil Rathbone,1892-06-13,21/07/1967
680,Baz Luhrmann,17/09/1962,
681,BÃ©atrice Bonifassi,,
682,BÃ©atrice Dalle,19/12/1964,
683,Beatrice Ntuba,,
684,Beatrice Straight,02/08/1914,07/04/2001
685,Beau Bridges,09/12/1941,
686,Beau Garrett,28/12/1982,
687,Beau Knapp,,
688,Beau Mirchoff,13/01/1989,
689,Bebe Neuwirth,31/12/1958,
690,Becky Smith,,
691,Beeban Kidron,02/05/1961,
692,Behrouz Vossoughi,,
693,BelÃ©n Rueda,16/03/1965,
694,Bella Heathcote,27/05/1987,
695,Bella Thorne,08/10/1997,
696,Ben Affleck,15/08/1972,
697,Ben Browder,11/12/1962,
698,Ben Chaplin,31/07/1970,
699,Ben Crompton,,
700,Ben Cross,16/12/1947,
701,Ben Daniels,10/06/1964,
702,Ben Davies,,
703,Ben Diskin,25/08/1982,
704,Ben Falcone,,
705,Ben Feldman,27/05/1980,
706,Ben Gazzara,28/08/1930,03/02/2012
707,Ben Johnson,13/06/1918,08/04/1996
708,Ben Lewin,,
709,Ben Mendelsohn,03/04/1969,
710,Ben Miles,,
711,Ben Miller,24/02/1966,
712,Ben Platt,24/09/1993,
713,Ben Schwartz,,
714,Ben Stassen,,
715,Ben Stein,25/11/1944,
716,Ben Stiller,30/11/1965,
717,Ben Vereen,10/10/1946,
718,Ben Wheatley,,
719,Ben Youcef,19/02/1979,
720,Ben Younger,07/10/1972,
721,Benedek Fliegauf,15/08/1974,
722,Benedict Cumberbatch,19/07/1976,
723,Benedict Wong,,
724,Benedikt Erlingsson,31/05/1969,
725,Benh Zeitlin,,
726,Benjamin A. Onyango,,
727,Benjamin Dickinson,,
728,Benjamin Fletcher,,
729,Benjamin J. Cain Jr.,,
730,Benjamin Roberds,,
731,Benjamin Walker,21/06/1982,
732,Bennett Miller,30/12/1966,
733,Benni Diez,,
734,Benno FÃ¼rmann,17/01/1972,
735,Benny Boom,,
736,BenoÃ®t Magimel,11/05/1974,
737,BenoÃ®t Poelvoorde,22/09/1964,
738,Benson Lee,,
739,BÃ©rÃ©nice Bejo,07/07/1976,
740,BergÃ¼zar Korel,02/09/1982,
741,Bern Cohen,,
742,Bernadette Peters,28/02/1948,
743,Bernard Cribbins,29/12/1928,
744,Bernard Fox,11/05/1927,14/12/2016
745,Bernard Hill,17/12/1944,
746,Bernardo Bertolucci,16/03/1941,
747,Bernardo Saracino,,
748,Bernie Casey,08/06/1939,
749,Bernie Mac,05/10/1957,09/08/2008
750,Bernie Sanders,08/09/1941,
751,Bertrand Cantat,05/03/1964,
752,Bess Armstrong,11/12/1953,
753,Bessie Love,1898-09-10,26/04/1986
754,Beth Broderick,24/02/1959,
755,Beth Grant,18/09/1949,
756,Beth Riesgraf,24/08/1978,
757,Bethany Blakey,,
758,Bethany Joy Lenz,02/04/1981,
759,Beto GÃ³mez,12/05/1969,
760,Betsy Baker,,
761,Betsy Palmer,01/11/1926,29/05/2015
762,Betsy Russell,06/09/1963,
763,Betty Hutton,26/02/1921,11/03/2007
764,Betty Thomas,27/07/1947,
765,Beverly D'Angelo,15/11/1951,
766,Beverly Randolph,,
767,Bhama,,
768,Bhavkhandan Singh Rakhra,,
769,Bhole Baba,,
770,Bhoomika Chawla,21/08/1978,
771,Bianca Brigitte VanDamme,17/10/1990,
772,Bianca Collins,17/08/1988,
773,Bianca Kajlich,26/03/1977,
774,Bibo Bergeron,,
775,Big Budah,,
776,Bigas Luna,19/03/1946,06/04/2013
777,Bill Allen,,
778,Bill Bailey,21/11/1980,
779,Bill Baird,,
780,Bill Benenson,,
781,Bill Clinton,19/08/1946,
782,Bill Cobbs,16/06/1934,
783,Bill Condon,22/10/1955,
784,Bill Duke,26/02/1943,
785,Bill Erwin,02/12/1914,29/12/2010
